id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
10,Side Plank Rotation,cardio,cable machine,full body,hold,"chest, core, back","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: chest, core, back. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
11,Bicep Curl,warm-up,jump rope,core,hold,"lower back, abs, obliques","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, abs, obliques. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
12,Close-Grip Overhead Press,strength,jump rope,full body,hold,"back, core, legs","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, legs. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
13,Rotational Lunge Twist,mobility,pull-up bar,full body,hold,"back, core, chest","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, chest. Movement: Step and lower until front thigh is near parallel, back knee under hip; drive through front foot to stand. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
14,B-Stance Rowing,warm-up,dumbbells,core,pull,"abs, lower back, obliques","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
15,Push-Up,strength,jump rope,lower,pull,"calves, quads, glutes","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, quads, glutes. Movement: Lower chest between hands with elbows ~45°, keep body in one line; press back up without flaring. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
16,Tricep Extension Twist,warm-up,smith machine,core,pull,"abs, obliques, lower back","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
17,Deficit Leg Press,strength,smith machine,upper,pull,"forearms, deltoids, traps","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: forearms, deltoids, traps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
18,Static Cycling March,cardio,assisted machine,core,pull,"obliques, abs, lower back","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
19,Chin-Up,warm-up,cable machine,core,hold,"lower back, obliques, abs","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
20,Single-Leg Bicep Curl March,cardio,dip belt,lower,pull,"glutes, calves, hamstrings","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, calves, hamstrings. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
21,Squat,strength,assisted machine,core,stretch,"abs, lower back, obliques","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
22,Step-Up Series,warm-up,rower,core,stretch,"abs, lower back, obliques","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
23,Single-Arm Chest Fly,mobility,rower,lower,push,"glutes, quads, calves","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, quads, calves. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
24,Dips,cardio,cable machine,upper,pull,"triceps, chest, traps","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, chest, traps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
25,Mountain Climber Hold,mobility,dumbbells,full body,hold,"back, legs, core","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, legs, core. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
26,Jumping Jack Hold,cardio,assisted machine,full body,pull,"core, legs, back","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, legs, back. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
27,Rotational Face Pull,warm-up,rower,lower,push,"calves, quads, hamstrings","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, quads, hamstrings. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
28,Single-Arm Farmer Carry,cardio,rings,upper,hold,"triceps, deltoids, biceps","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, deltoids, biceps. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
29,Isometric Jumping Jack,strength,jump rope,core,hold,"lower back, abs, obliques","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, abs, obliques. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
30,Chin-Up Raise,mobility,pull-up bar,core,stretch,"lower back, obliques, abs","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
31,Plank Rotation,mobility,assisted machine,lower,hold,"quads, hamstrings, calves","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, hamstrings, calves. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
32,Running,strength,rower,lower,pull,"quads, calves, hamstrings","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, calves, hamstrings. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
33,Half-Kneeling Overhead Press,cardio,resistance band,core,pull,"lower back, obliques, abs","Setup: Anchor the resistance band safely; check for tears before use. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
34,Decline Burpee Hold,mobility,resistance band,core,pull,"obliques, lower back, abs","Setup: Anchor the resistance band safely; check for tears before use. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, lower back, abs. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
35,Face Pull Twist,cardio,cable machine,upper,push,"biceps, triceps, deltoids","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: biceps, triceps, deltoids. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
36,Incline Jumping Jack,strength,treadmill,full body,pull,"core, back, legs","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, back, legs. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
37,Mountain Climber,cardio,smith machine,lower,push,"calves, glutes, hamstrings","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, glutes, hamstrings. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
38,Paused Plank,strength,kettlebells,lower,stretch,"calves, quads, glutes","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, quads, glutes. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep bell close to centerline to protect lower back."
39,Chin-Up Iso,strength,assisted machine,full body,stretch,"core, legs, chest","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, legs, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
40,Lunge Raise,mobility,bodyweight,upper,stretch,"triceps, lats, deltoids","Setup: Bodyweight only—use controlled tempo and balance. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, lats, deltoids. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
41,Tall-Kneeling Mountain Climber Variation,mobility,bike,core,push,"lower back, obliques, abs","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
42,Single-Arm Jump Rope,cardio,rower,lower,hold,"hamstrings, calves, glutes","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, glutes. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
43,Jumping Jack Rotation,cardio,jump rope,lower,pull,"quads, hamstrings, calves","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, hamstrings, calves. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
